id,body,source_author,source_title,score
pd165c16b4975a53,私はなにもかもわからなくなって立ち向っていたのだ。,上田広,指導物語,0.6502
pd91466b00259514,源氏物語の文章は、当時の宮廷語、殊に貴婦人語にすこぶる近いものだろう。,上田敏,『新訳源氏物語』初版の序,0.4546
pdd81c24511a4b3f,と、中でかんぬきをはずす音がして、大きなとびらはしずかに開かれました。,下村千秋,壇ノ浦の鬼火,0.5812
pd9385f6774af7e0,氏は初期の私の歌集以来引きつづいて私を庇護してくれた人である。,与謝野晶子,『新新訳源氏物語』あとがき,0.4833
pdb466c1cfe2648c,そしてあたりを見まわした上で、彦太の耳の近くで低い声を出した。,丘丘十郎,雪魔,0.6549
pd2c4587aa58e803,偶然とか、単純な一致とか何の動機もない自白などで決めてはならない。,中井正一,探偵小説の芸術性,0.5313
pdc191af43cd509c,同じ村内でもそこの土壌の質によって柿の甘さに著しい甲乙があった。,中島哀浪,かき・みかん・かに,0.4048
pd5e0c788bf5dd17,するとだんだん気がふさいで、病気になりました。,中島孤島,杜松の樹,0.4358
pdbe9b845d76c289,ただそこに孔子という人間が存在するというだけで充分なのだ。,中島敦,弟子,0.6356
pd25c1423231f45e,別に理由はないので、面白味がよく分らないからである。,中谷宇吉郎,詩人への註文,0.5033
pdf872dfd177d8ca,卯の花の白妙に、茨の花の咲きそひて、雪にもこゆる心地ぞする。,中里介山,大菩薩峠,0.6868
pda8d7c2c9e7849a,とにかく、何もかも面倒になったのです。,久坂葉子,幾度目かの最期,0.6316
pd997be0e1ed5000,早咲きの桃の花とでも言いましょうか。,久生十蘭,顎十郎捕物帳,0.7618
pdc468422aca6371,思いなしか耳を澄ますと川面を渡る夜の帆船の音が聞えるようである。,久米正雄,競漕,0.6321
pd5ac1032505e45f,茫然としていると、雨に打れて見る間に濡しょぼたれ、怕ろしく寒くなる。,二葉亭四迷,平凡,0.6056
pd0bfcfbb8e68eaf,外に一かたまりの人が、何にも見ずに立っていた。,井上紅梅,村芝居,0.6357
pd8d906058505aa6,そしてどうもしようがないので小吟のみつかるまではとその親達を牢屋に入れてつらい目に合わせて居た。,井原西鶴,元禄時代小説第一巻「本朝二十不孝」ぬきほ（言文一致訳）,0.5272
pdf1a40b8ac90efd,そして痛ましく恐ろしい悲鳴が上げられた。,今野大力,トンカトントンカッタカッタ,0.4972
pd89fa9c538d5b1d,一部を贈られたから早速通読して自分の最も好む一句を捨つた。,伊丹万作,広告,0.4867
pd7865f08ec0c7c0,お小夜はそんな物音が一々耳にとまる。,伊藤左千夫,新万葉物語,0.7197
pd576d23e06c347d,丘を降りた重い軍靴の音が、家の戸口から薄暗い土間に消えて行つた。,伊藤永之介,押しかけ女房,0.6231
